Humidity3pm,Rainfall,RainToday,TempRange,WindGustSpeed,Pressure9am,AvgPressure,HumidityChange,AvgHumidity
72.9,1.4385556664,true,21.5,103.8,1093.9,1056.56,-27.7,15.2
1.8,0.0270237647,true,32.7,22.1,1028.0,942.87,77.4,92.6
67.9,0.0234440759,false,40.1,91.7,1030.4,920.88,-23.7,1.6
25.5,3.2799567995,true,1.2,74.2,1065.2,1022.01,-32.4,38.2
58.0,3.7564986318,true,23.1,176.1,1034.2,986.08,-97.6,30.6
37.8,1.9648204019,false,6.9,68.3,1013.0,1097.75,-91.3,8.8
88.2,2.7363412284,false,9.3,120.2,931.8,1053.26,27.3,16.4
3.9,0.9976440857,true,18.2,26.8,918.2,1024.18,48.2,32.9
78.4,8.3859198489,false,4.0,56.2,972.1,996.83,-46.7,56.5
23.9,7.2840210962,false,46.3,111.9,972.9,1023.89,-51.6,4.2
15.7,4.4713111863,true,45.4,9.7,947.0,1022.57,28.9,72.3
82.9,4.8639436369,false,5.3,189.2,996.7,1001.11,-18.8,84.0
80.0,3.8876612759,true,21.9,21.3,1044.2,1020.82,75.7,64.4
85.6,4.8651011426,false,30.8,75.9,997.5,900.33,6.0,56.0
37.9,6.7788910463,true,45.1,181.8,1077.2,966.38,-70.0,23.4
46.6,4.12376439,true,5.3,115.2,1051.8,980.13,-11.9,16.0
7.7,4.9558852946,true,6.6,164.9,1015.7,962.91,-73.8,40.6
90.0,1.4253306535,false,17.7,142.6,1084.3,1036.69,36.4,23.3
30.6,9.3898972593,true,44.2,48.8,1022.2,957.77,-37.8,47.9
13.7,1.9080191988,true,26.1,92.2,1053.7,1077.81,-29.5,58.1
8.2,5.3050438883,true,26.4,19.5,994.1,979.3,-31.9,91.3
27.1,6.1966677746,false,4.8,171.0,1071.1,1048.1,-83.4,93.1
81.0,7.9793923158,true,3.8,190.6,1004.5,939.71,93.6,56.3
90.2,7.9417472228,false,19.2,71.1,918.3,1010.56,-92.1,19.4
70.2,1.5069306843,false,31.4,43.6,968.5,961.93,7.3,67.7
25.5,1.1155808913,false,15.3,60.3,1038.0,929.28,42.8,57.1
97.8,4.1842779104,false,31.6,61.2,938.9,921.76,51.2,56.6
27.3,6.4923500792,false,5.9,77.4,1009.7,1033.35,44.1,23.6
9.8,3.5647567836,false,12.1,173.7,975.4,1096.12,-11.5,85.9
87.1,0.3954705641,false,48.4,41.4,1037.5,1053.9,47.4,11.8
88.2,5.4994346319,false,18.9,84.2,1068.4,1005.75,-54.3,39.6
25.2,6.1090279836,true,19.7,56.4,1070.3,904.45,99.2,11.0
54.0,9.2677342793,true,7.3,17.5,1003.0,965.15,-20.7,30.6
11.1,3.6828592177,true,35.7,69.3,1044.9,1033.12,90.9,92.3
29.2,8.4441763091,true,27.3,170.7,944.2,948.86,-94.1,94.7
30.5,3.2348140763,true,16.1,129.8,1019.6,1045.57,42.8,33.3
13.8,3.1789578546,true,11.7,181.1,1010.6,925.56,-6.9,60.8
83.4,7.6610665612,true,8.4,23.0,916.4,1095.44,-45.1,33.9
68.5,6.4105311229,false,40.4,129.2,1043.4,935.96,-35.1,4.1
67.8,7.1632630622,true,0.4,177.3,1024.3,1032.64,72.5,93.0
13.4,7.4738933798,true,40.5,29.1,927.0,1065.32,-11.4,18.2
49.1,5.0946068597,true,2.9,159.6,954.4,1086.83,52.8,56.6
91.5,8.2456725982,false,7.7,69.7,911.6,979.25,-27.3,68.4
72.7,0.3787538193,false,17.0,82.8,1031.5,943.3,97.8,62.2
